,LONGITUD,LATITUD,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,SEMAFORO,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
633,-101.06513,17.3131,,0,,0,9.0,1,,0,,0,2114.0,5,,0,62.3,2,,0,,0,,0,,0,,0,0.0,1,3.0,,,1.0,,,0.0,1.0,1.0,COSTERO
634,-101.05819,17.30882,,0,,0,18.0,1,,0,,0,581.0,5,,0,63.0,2,,0,,0,,0,,0,,0,0.0,1,3.0,,,1.0,,,0.0,1.0,1.0,COSTERO
635,-101.05437,17.30391,,0,,0,12.0,1,,0,,0,84.0,1,,0,64.0,2,,0,,0,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
636,-101.053,17.37617,1.0,1,10.86,2,88.0,3,11000.0,5,4600.0,5,,0,66.9,2,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,LOTICO
637,-101.27355,17.54192,1.0,1,9.0,1,23.0,1,24000.0,5,24000.0,5,,0,70.3,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,LOTICO
638,-101.33629,17.56114,1.0,1,9.0,1,349.0,4,11000.0,5,1500.0,5,,0,67.9,2,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,LOTICO
639,-101.34158,17.48599,1.0,1,17.642,2,15.0,1,2400.0,4,930.0,4,,0,63.4,2,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,COSTERO
640,-101.33229,17.48653,1.0,1,21.571,3,17.0,1,24000.0,5,11000.0,5,,0,46.1,3,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,COSTERO
641,-101.44196,17.53407,,0,,0,13.0,1,,0,,0,20.0,1,,0,56.0,2,,0,,0,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
642,-101.4371,17.5385,,0,,0,17.0,1,,0,,0,51.0,1,,0,54.0,2,,0,,0,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
643,-101.42773,17.53791,,0,,0,14.0,1,,0,,0,320.0,4,,0,51.0,2,,0,,0,,0,,0,,0,0.0,1,3.0,,,1.0,,,0.0,1.0,1.0,COSTERO
644,-101.44172,17.53102,,0,,0,19.0,1,,0,,0,74.0,1,,0,56.0,2,,0,50.0,3,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
645,-101.44477,17.53588,,0,,0,20.0,1,,0,,0,98.0,1,,0,58.0,2,,0,49.0,3,,0,,0,,0,0.0,1,1.0,,,1.0,,,1.0,1.0,1.0,COSTERO
